Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Prairie View A&M;,Alabama State,0,2,0,9,1,Jamel Waters made Jumper. Assisted by Torloft Thomas.
Prairie View A&M;,Alabama State,0,2,0,36,0,Jayrn Johnson missed Three Point Jumper.
Prairie View A&M;,Alabama State,0,2,0,36,0,Admassu Williams Offensive Rebound.
Prairie View A&M;,Alabama State,2,2,0,44,1,Admassu Williams made Layup.
Prairie View A&M;,Alabama State,2,2,0,48,0,Foul on Tony Armstrong.
Prairie View A&M;,Alabama State,2,2,0,48,0,Admassu Williams missed Free Throw.
Prairie View A&M;,Alabama State,2,2,0,48,0,Bobby Brown Defensive Rebound.
Prairie View A&M;,Alabama State,2,5,0,56,1,Jamel Waters made Three Point Jumper.
Prairie View A&M;,Alabama State,4,5,1,31,1,Jayrn Johnson made Layup.
Prairie View A&M;,Alabama State,4,5,1,38,0,Bobby Brown missed Jumper.
Prairie View A&M;,Alabama State,4,5,1,38,0,Robert Ojeah Offensive Rebound.
Prairie View A&M;,Alabama State,4,7,1,42,1,Robert Ojeah made Layup.
Prairie View A&M;,Alabama State,4,7,2,0,0,Jayrn Johnson missed Jumper.
Prairie View A&M;,Alabama State,4,7,2,0,0,Robert Ojeah Defensive Rebound.
Prairie View A&M;,Alabama State,4,10,2,10,1,Jamel Waters made Three Point Jumper. Assisted by Corvon Butler.
Prairie View A&M;,Alabama State,4,10,2,20,0,Foul on Robert Ojeah.
Prairie View A&M;,Alabama State,4,10,2,25,0,Jayrn Johnson missed Layup.
Prairie View A&M;,Alabama State,4,10,2,25,0,Robert Ojeah Defensive Rebound.
Prairie View A&M;,Alabama State,4,10,2,47,0,Torloft Thomas Turnover.
Prairie View A&M;,Alabama State,6,10,3,14,1,Admassu Williams made Layup. Assisted by Jayrn Johnson.
Prairie View A&M;,Alabama State,6,10,3,15,0,Foul on Corvon Butler.
Prairie View A&M;,Alabama State,6,10,3,16,0,Admassu Williams missed Free Throw.
Prairie View A&M;,Alabama State,6,10,3,17,0,Corvon Butler Defensive Rebound.
Prairie View A&M;,Alabama State,6,10,3,22,0,Robert Ojeah missed Layup.
Prairie View A&M;,Alabama State,6,10,3,22,0,Admassu Williams Block.
Prairie View A&M;,Alabama State,6,10,3,28,0,Admassu Williams Defensive Rebound.
