Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Texas A&M-CC;,Texas A&M;,0,0,0,28,0,Rashawn Thomas missed Jumper.
Texas A&M-CC;,Texas A&M;,0,0,0,28,0,Tyler Davis Defensive Rebound.
Texas A&M-CC;,Texas A&M;,0,0,0,50,0,Alex Caruso missed Three Point Jumper.
Texas A&M-CC;,Texas A&M;,0,0,0,50,0,Bryce Douvier Defensive Rebound.
Texas A&M-CC;,Texas A&M;,0,0,1,0,0,Bryce Douvier missed Layup.
Texas A&M-CC;,Texas A&M;,0,0,1,0,0,Tonny Trocha-Morelos Defensive Rebound.
Texas A&M-CC;,Texas A&M;,0,0,1,8,0,Foul on Rashawn Thomas.
Texas A&M-CC;,Texas A&M;,0,2,1,11,1,Danuel House made Jumper.
Texas A&M-CC;,Texas A&M;,0,2,1,39,0,Hameed Ali missed Layup.
Texas A&M-CC;,Texas A&M;,0,2,1,39,0,Tyler Davis Defensive Rebound.
Texas A&M-CC;,Texas A&M;,0,4,1,48,1,Tyler Davis made Layup. Assisted by Alex Caruso.
Texas A&M-CC;,Texas A&M;,0,4,1,48,0,Foul on Rashawn Thomas.
Texas A&M-CC;,Texas A&M;,0,5,1,48,1,Tyler Davis made Free Throw.
Texas A&M-CC;,Texas A&M;,0,5,2,0,0,Brandon Pye missed Jumper.
Texas A&M-CC;,Texas A&M;,0,5,2,0,0,Tyler Davis Defensive Rebound.
Texas A&M-CC;,Texas A&M;,0,5,2,10,0,Anthony Collins missed Three Point Jumper.
Texas A&M-CC;,Texas A&M;,0,5,2,10,0,Bryce Douvier Defensive Rebound.
Texas A&M-CC;,Texas A&M;,0,5,2,12,0,Foul on Tyler Davis.
Texas A&M-CC;,Texas A&M;,0,5,2,21,0,Bryce Douvier Turnover.
Texas A&M-CC;,Texas A&M;,0,5,2,22,0,Alex Caruso Steal.
Texas A&M-CC;,Texas A&M;,0,7,2,24,1,Danuel House made Layup. Assisted by Alex Caruso.
Texas A&M-CC;,Texas A&M;,0,7,2,33,0,Foul on Anthony Collins.
Texas A&M-CC;,Texas A&M;,0,7,2,48,0,Hameed Ali missed Three Point Jumper.
Texas A&M-CC;,Texas A&M;,0,7,2,48,0,Tonny Trocha-Morelos Defensive Rebound.
Texas A&M-CC;,Texas A&M;,0,9,3,3,1,Tonny Trocha-Morelos made Layup. Assisted by Tyler Davis.
Texas A&M-CC;,Texas A&M;,0,9,3,18,0,Bryce Douvier missed Three Point Jumper.
Texas A&M-CC;,Texas A&M;,0,9,3,18,0,Danuel House Defensive Rebound.
Texas A&M-CC;,Texas A&M;,0,9,3,31,0,Danuel House missed Three Point Jumper.
Texas A&M-CC;,Texas A&M;,0,9,3,31,0,Jelani Currie Defensive Rebound.
Texas A&M-CC;,Texas A&M;,3,9,3,46,1,Bryce Douvier made Three Point Jumper. Assisted by Brandon Pye.
Texas A&M-CC;,Texas A&M;,3,9,4,2,0,Official TV Timeout
Texas A&M-CC;,Texas A&M;,3,9,4,18,0,Foul on Dale Francis.
Texas A&M-CC;,Texas A&M;,3,9,4,35,0,Danuel House Turnover.
Texas A&M-CC;,Texas A&M;,3,9,4,57,0,Dale Francis missed Three Point Jumper.
Texas A&M-CC;,Texas A&M;,3,9,4,57,0,Tavario Miller Defensive Rebound.
Texas A&M-CC;,Texas A&M;,3,9,5,11,0,Foul on Viktor Juricek.
Texas A&M-CC;,Texas A&M;,3,9,5,24,0,Danuel House missed Three Point Jumper.
Texas A&M-CC;,Texas A&M;,3,9,5,24,0,Tavario Miller Offensive Rebound.
Texas A&M-CC;,Texas A&M;,3,9,5,36,0,Foul on Ehab Amin.
Texas A&M-CC;,Texas A&M;,3,10,5,36,1,Danuel House made Free Throw.
