Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Northwestern State,Texas A&M;,0,0,0,17,0,Marvin Frazier Turnover.
Northwestern State,Texas A&M;,0,0,0,19,0,Peyton Allen Steal.
Northwestern State,Texas A&M;,0,0,0,21,0,Foul on Tra'von Joseph.
Northwestern State,Texas A&M;,0,1,0,21,1,Kourtney Roberson made Free Throw.
Northwestern State,Texas A&M;,0,1,0,21,0,Kourtney Roberson missed Free Throw.
Northwestern State,Texas A&M;,0,1,0,21,0,Jalen Jones Offensive Rebound.
Northwestern State,Texas A&M;,0,1,0,23,0,Foul on Zeek Woodley.
Northwestern State,Texas A&M;,0,1,0,23,0,Jalen Jones missed Free Throw.
Northwestern State,Texas A&M;,0,1,0,23,0,Texas A&M; Deadball Team Rebound.
Northwestern State,Texas A&M;,0,2,0,23,1,Jalen Jones made Free Throw.
Northwestern State,Texas A&M;,0,2,0,34,0,Zeek Woodley missed Three Point Jumper.
Northwestern State,Texas A&M;,0,2,0,34,0,Tra'von Joseph Offensive Rebound.
Northwestern State,Texas A&M;,0,2,0,41,0,Foul on Jalen Jones.
Northwestern State,Texas A&M;,0,2,0,41,0,Jalan West missed Free Throw.
Northwestern State,Texas A&M;,0,2,0,41,0,Northwestern St Deadball Team Rebound.
Northwestern State,Texas A&M;,1,2,0,41,1,Jalan West made Free Throw.
Northwestern State,Texas A&M;,1,4,0,58,1,Jalen Jones made Dunk. Assisted by Alex Caruso.
Northwestern State,Texas A&M;,1,4,1,3,0,Foul on Tra'von Joseph.
Northwestern State,Texas A&M;,1,5,1,4,1,Jalen Jones made Free Throw.
Northwestern State,Texas A&M;,1,5,1,20,0,Foul on Jalen Jones.
Northwestern State,Texas A&M;,2,5,1,20,1,Zeek Woodley made Free Throw.
Northwestern State,Texas A&M;,2,5,1,20,0,Zeek Woodley missed Free Throw.
Northwestern State,Texas A&M;,2,5,1,20,0,Davonte Fitzgerald Defensive Rebound.
Northwestern State,Texas A&M;,2,5,1,48,0,Peyton Allen missed Three Point Jumper.
Northwestern State,Texas A&M;,2,5,1,48,0,Jalan West Block.
Northwestern State,Texas A&M;,2,5,1,51,0,Sabri Thompson Defensive Rebound.
Northwestern State,Texas A&M;,2,5,2,8,0,Jalan West missed Three Point Jumper.
Northwestern State,Texas A&M;,2,5,2,8,0,Kourtney Roberson Defensive Rebound.
Northwestern State,Texas A&M;,2,7,2,23,1,Davonte Fitzgerald made Jumper. Assisted by Jordan Green.
Northwestern State,Texas A&M;,4,7,2,28,1,Sabri Thompson made Jumper.
Northwestern State,Texas A&M;,4,7,2,56,0,Davonte Fitzgerald missed Jumper.
Northwestern State,Texas A&M;,4,7,2,56,0,Davonte Fitzgerald Offensive Rebound.
Northwestern State,Texas A&M;,4,7,2,59,0,Davonte Fitzgerald missed Jumper.
Northwestern State,Texas A&M;,4,7,2,59,0,Matt Killian Block.
