Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Prairie View A&M;,Alabama A&M;,0,0,0,32,0,Jules Montgomery missed Jumper.
Prairie View A&M;,Alabama A&M;,0,0,0,32,0,Jeremy Crutcher Defensive Rebound.
Prairie View A&M;,Alabama A&M;,0,2,0,57,1,Nicholas West made Layup.
Prairie View A&M;,Alabama A&M;,0,2,1,17,0,Montrael Scott missed Three Point Jumper.
Prairie View A&M;,Alabama A&M;,0,2,1,17,0,Montrael Scott Offensive Rebound.
Prairie View A&M;,Alabama A&M;,2,2,1,27,1,Montrael Scott made Layup.
Prairie View A&M;,Alabama A&M;,2,2,1,29,0,Justan Banks missed Jumper.
Prairie View A&M;,Alabama A&M;,2,2,1,29,0,Reggis Onwukamuche Block.
Prairie View A&M;,Alabama A&M;,2,2,1,29,0,Tre Hagood Defensive Rebound.
Prairie View A&M;,Alabama A&M;,2,2,1,45,0,Montrael Scott missed Jumper.
Prairie View A&M;,Alabama A&M;,2,2,1,45,0,Prairie View Offensive Rebound.
Prairie View A&M;,Alabama A&M;,2,2,2,2,0,Louis Munks missed Three Point Jumper.
Prairie View A&M;,Alabama A&M;,2,2,2,2,0,Brandon Ellis Defensive Rebound.
Prairie View A&M;,Alabama A&M;,2,2,2,11,0,Foul on Reggis Onwukamuche.
Prairie View A&M;,Alabama A&M;,2,3,2,11,1,Brandon Ellis made Free Throw.
Prairie View A&M;,Alabama A&M;,2,4,2,11,1,Brandon Ellis made Free Throw.
Prairie View A&M;,Alabama A&M;,2,4,2,39,0,Louis Munks missed Jumper.
Prairie View A&M;,Alabama A&M;,2,4,2,39,0,Arthur Capers Defensive Rebound.
Prairie View A&M;,Alabama A&M;,2,7,2,44,1,Brandon Ellis made Three Point Jumper. Assisted by Arthur Capers.
Prairie View A&M;,Alabama A&M;,4,7,2,54,1,Tre Hagood made Jumper.
Prairie View A&M;,Alabama A&M;,4,7,3,4,0,Arthur Capers missed Jumper.
Prairie View A&M;,Alabama A&M;,4,7,3,4,0,Reggis Onwukamuche Block.
Prairie View A&M;,Alabama A&M;,4,7,3,6,0,Louis Munks Defensive Rebound.
Prairie View A&M;,Alabama A&M;,4,7,3,18,0,Montrael Scott Turnover.
Prairie View A&M;,Alabama A&M;,4,7,3,26,0,Foul on Louis Munks.
Prairie View A&M;,Alabama A&M;,4,7,3,26,0,Brandon Ellis missed Free Throw.
Prairie View A&M;,Alabama A&M;,4,7,3,26,0,Alabama A&M; Deadball Team Rebound.
Prairie View A&M;,Alabama A&M;,4,8,3,26,1,Brandon Ellis made Free Throw.
Prairie View A&M;,Alabama A&M;,4,8,3,39,0,Louis Munks missed Jumper.
Prairie View A&M;,Alabama A&M;,4,8,3,39,0,Demondre Chapman Offensive Rebound.
Prairie View A&M;,Alabama A&M;,4,8,3,40,0,Foul on Nicholas West.
Prairie View A&M;,Alabama A&M;,4,8,3,40,0,Jules Montgomery missed Jumper.
Prairie View A&M;,Alabama A&M;,4,8,3,40,0,Arthur Capers Defensive Rebound.
Prairie View A&M;,Alabama A&M;,4,8,3,48,0,Brandon Ellis missed Three Point Jumper.
Prairie View A&M;,Alabama A&M;,4,8,3,48,0,Demondre Chapman Defensive Rebound.
Prairie View A&M;,Alabama A&M;,4,8,4,8,0,Official TV Timeout
Prairie View A&M;,Alabama A&M;,4,8,4,24,0,Foul on Jules Montgomery.
Prairie View A&M;,Alabama A&M;,4,8,4,24,0,Jules Montgomery Turnover.
Prairie View A&M;,Alabama A&M;,4,8,4,51,0,Jeremy Crutcher Turnover.
Prairie View A&M;,Alabama A&M;,4,8,4,51,0,John Brisco Steal.
Prairie View A&M;,Alabama A&M;,4,8,4,56,0,Tre Hagood missed Jumper.
Prairie View A&M;,Alabama A&M;,4,8,4,56,0,Brandon Ellis Block.
Prairie View A&M;,Alabama A&M;,4,8,4,57,0,Brandon Ellis Defensive Rebound.
Prairie View A&M;,Alabama A&M;,4,10,5,1,1,Jeremy Crutcher made Layup.
Prairie View A&M;,Alabama A&M;,4,10,5,40,0,Tre Hagood missed Three Point Jumper.
