Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Prairie View A&M;,Texas A&M;,2,0,0,22,1,Demondre Chapman made Layup. Assisted by Montrael Scott.
Prairie View A&M;,Texas A&M;,2,0,0,40,0,Jordan Green missed Layup.
Prairie View A&M;,Texas A&M;,2,0,0,40,0,Jordan Green Offensive Rebound.
Prairie View A&M;,Texas A&M;,2,2,0,46,1,Alex Caruso made Jumper.
Prairie View A&M;,Texas A&M;,2,2,1,7,0,Demondre Chapman missed Jumper.
Prairie View A&M;,Texas A&M;,2,2,1,7,0,Kourtney Roberson Block.
Prairie View A&M;,Texas A&M;,2,2,1,8,0,Demondre Chapman Offensive Rebound.
Prairie View A&M;,Texas A&M;,2,2,1,21,0,Tre Hagood Turnover.
Prairie View A&M;,Texas A&M;,2,2,1,23,0,Alex Caruso Steal.
Prairie View A&M;,Texas A&M;,2,4,1,26,1,Kourtney Roberson made Layup. Assisted by Jordan Green.
Prairie View A&M;,Texas A&M;,2,4,1,35,0,Louis Munks missed Three Point Jumper.
Prairie View A&M;,Texas A&M;,2,4,1,35,0,Tre Hagood Offensive Rebound.
Prairie View A&M;,Texas A&M;,2,4,1,40,0,Hershey Robinson missed Three Point Jumper.
Prairie View A&M;,Texas A&M;,2,4,1,40,0,Montrael Scott Offensive Rebound.
Prairie View A&M;,Texas A&M;,4,4,1,43,1,Montrael Scott made Layup.
Prairie View A&M;,Texas A&M;,4,4,1,46,0,Antwan Space Turnover.
Prairie View A&M;,Texas A&M;,4,4,1,49,0,Tre Hagood Steal.
Prairie View A&M;,Texas A&M;,4,4,1,58,0,Louis Munks Turnover.
Prairie View A&M;,Texas A&M;,4,6,2,3,1,Kourtney Roberson made Dunk. Assisted by Jordan Green.
Prairie View A&M;,Texas A&M;,4,6,2,22,0,Tre Hagood Turnover.
Prairie View A&M;,Texas A&M;,4,6,2,23,0,Alex Caruso Steal.
Prairie View A&M;,Texas A&M;,4,6,2,25,0,Alex Caruso missed Layup.
Prairie View A&M;,Texas A&M;,4,6,2,25,0,Louis Munks Defensive Rebound.
Prairie View A&M;,Texas A&M;,6,6,2,31,1,Louis Munks made Layup.
Prairie View A&M;,Texas A&M;,6,6,2,49,0,Antwan Space missed Layup.
Prairie View A&M;,Texas A&M;,6,6,2,49,0,Tre Hagood Defensive Rebound.
Prairie View A&M;,Texas A&M;,6,6,2,55,0,Foul on Demondre Chapman.
Prairie View A&M;,Texas A&M;,6,6,2,55,0,Demondre Chapman Turnover.
Prairie View A&M;,Texas A&M;,6,6,3,16,0,Foul on Kourtney Roberson.
Prairie View A&M;,Texas A&M;,6,6,3,16,0,Kourtney Roberson Turnover.
Prairie View A&M;,Texas A&M;,6,6,3,51,0,Tre Hagood missed Layup.
Prairie View A&M;,Texas A&M;,6,6,3,51,0,Alex Caruso Block.
Prairie View A&M;,Texas A&M;,6,6,3,56,0,Shawn Smith Defensive Rebound.
Prairie View A&M;,Texas A&M;,6,6,3,56,0,Foul on Montrael Scott.
Prairie View A&M;,Texas A&M;,6,7,3,56,1,Shawn Smith made Free Throw.
Prairie View A&M;,Texas A&M;,6,7,3,56,0,Shawn Smith missed Free Throw.
Prairie View A&M;,Texas A&M;,6,7,3,56,0,Montrael Scott Defensive Rebound.
Prairie View A&M;,Texas A&M;,6,7,4,28,0,Demondre Chapman Turnover.
Prairie View A&M;,Texas A&M;,6,7,4,30,0,Alex Caruso Steal.
Prairie View A&M;,Texas A&M;,6,7,4,31,0,Foul on Demondre Chapman.
Prairie View A&M;,Texas A&M;,6,7,4,31,0,Official TV Timeout
Prairie View A&M;,Texas A&M;,6,7,4,33,0,Antwan Space Turnover.
Prairie View A&M;,Texas A&M;,6,7,4,35,0,Montrael Scott Steal.
Prairie View A&M;,Texas A&M;,6,7,4,37,0,Foul on Tavario Miller.
Prairie View A&M;,Texas A&M;,7,7,4,37,1,John Brisco made Free Throw.
Prairie View A&M;,Texas A&M;,8,7,4,37,1,John Brisco made Free Throw.
Prairie View A&M;,Texas A&M;,8,7,5,0,0,Tavario Miller missed Jumper.
Prairie View A&M;,Texas A&M;,8,7,5,0,0,Antwan Space Offensive Rebound.
Prairie View A&M;,Texas A&M;,8,9,5,1,1,Antwan Space made Layup.
Prairie View A&M;,Texas A&M;,11,9,5,19,1,Montrael Scott made Three Point Jumper. Assisted by Andre Adams.
Prairie View A&M;,Texas A&M;,11,9,5,29,0,Alex Caruso Turnover.
Prairie View A&M;,Texas A&M;,11,9,5,33,0,Montrael Scott missed Jumper.
Prairie View A&M;,Texas A&M;,11,9,5,33,0,Antwan Space Defensive Rebound.
Prairie View A&M;,Texas A&M;,11,11,5,52,1,Tavario Miller made Layup. Assisted by Alex Caruso.
